Actor,Character
Chiwetel Ejiofor,Mordo
Rachel McAdams,Dr. Christine Palmer
Benedict Wong,Wong
Cillian Murphy,J. Robert Oppenheimer
Emily Blunt,Kitty Oppenheimer
Matt Damon,Leslie Groves
Robert Downey Jr.,Lewis Strauss
Jay Baruchel,Hiccup
Gerard Butler,Stoick
Christopher Mintz-Plasse,Fishlegs
Craig Ferguson,Gobber
Uma Thurman,Beatrix Kiddo aka The Bride aka Black Mamba aka Mommy
David Carradine,Bill aka Snake Charmer
Michael Madsen,Budd aka Sidewinder
Daryl Hannah,Elle Driver aka California Mountain Snake
Henry Cavill,Clark Kent/Kal-El
Amy Adams,Lois Lane
Michael Shannon,General Zod
Diane Lane,Martha Kent
Alexandre Rodrigues,Buscapé
Leandro Firmino,Zé Pequeno
Matheus Nachtergaele,Sandro Cenoura
Phellipe Haagensen,Bené
Audrey Tautou,Amélie Poulain
Mathieu Kassovitz,Nino Quincampoix
Rufus,Raphaël Poulain
Lorella Cravotta,Amandine Poulain
Mickey Rourke,Marv
Clive Owen,Dwight
Bruce Willis,Hartigan
Jessica Alba,Nancy
Daniel Craig,Benoit Blanc
Chris Evans,Ransom Drysdale
Ana de Armas,Marta Cabrera
Jamie Lee Curtis,Linda Drysdale
Amy Adams,Louise Banks
Jeremy Renner,Ian Donnelly
Forest Whitaker,Colonel Weber
Michael Stuhlbarg,Agent Halpern
Johnny Depp,Jack Sparrow
Orlando Bloom,Will Turner
Keira Knightley,Elizabeth Swann
Jack Davenport,Norrington
Chris Pratt,Peter Quill/Star-Lord
Zoe Saldana,Gamora
Dave Bautista,Drax
Vin Diesel,Baby Groot
Jesse Eisenberg,Mark Zuckerberg
Andrew Garfield,Eduardo Saverin
Justin Timberlake,Sean Parker
Rooney Mara,Erica Albright
Hayden Christensen,Anakin Skywalker
Natalie Portman,Padmé
Ewan McGregor,Obi-Wan Kenobi
Christopher Lee,Count Dooku
Ben Affleck,Bruce Wayne/Batman
Henry Cavill,Clark Kent/Superman
Amy Adams,Lois
Jesse Eisenberg,Lex Luthor
Keanu Reeves,John Wick
Michael Nyqvist,Viggo Tarasov
Alfie Allen,Iosef Tarasov
Willem Dafoe,Marcus
Patrick Stewart,Professor X
Ian McKellen,Magneto
Hugh Jackman,Logan/Wolverine
James McAvoy,Charles Xavier
Fionn Whitehead,Tommy
Barry Keoghan,George
Mark Rylance,Mr. Dawson
Tom Hardy,Farrier
Tom Cruise,Cage
Emily Blunt,Rita
Bill Paxton,Master Sergeant Farell
Brendan Gleeson,General Brigham
Mike Myers,Shrek/Blind Mouse/Opening Narration
Eddie Murphy,Donkey
Cameron Diaz,Princess Fiona
John Lithgow,Lord Farquaad
Chiwetel Ejiofor,Solomon Northup
Michael Kenneth Williams,Robert
Michael Fassbender,Edwin Epps
Brad Pitt,Bass
Bradley Cooper,Pat
Jennifer Lawrence,Tiffany Maxwell
Robert De Niro,Pat Sr.
Jacki Weaver,Dolores Solitano
