Actor,Character
Morgan Freeman,Bartok
Aksel Hennie,Geza Mott
Payman Maadi,Emperor
Melissa McCarthy,Lydia Berman
Octavia Spencer,Emily Stanton
Jason Bateman,The Crab
Bobby Cannavale,The King
Natalie Dormer,Sara/Jess Price
Eoin Macken,Rob
Stephanie Vogt,Valerie
Osamu Tanpopo,Homeless Man
Tony Leung Chiu-wai,Mr. Yee
Tang Wei,Wong Chia Chi/Mrs. Mak
Joan Chen,Mrs. Yee
Leehom Wang,Kuang Yu Min
Guy Pearce,The Reverend
Dakota Fanning,Liz
Emilia Jones,Joanna
Carice van Houten,Anna
Oscar Isaac,Gomez Addams
Charlize Theron,Morticia Addams
Chloë Grace Moretz,Wednesday Addams
Finn Wolfhard,Pugsley Addams
Sean Bean,John Ryder
Sophia Bush,Grace Andrews
Zachary Knighton,Jim Halsey
Neal McDonough,Esteridge
LaKeith Stanfield,Ben Matthias
Rosario Dawson,Gabbie
Owen Wilson,Father Kent
Tiffany Haddish,Harriet
Justin Timberlake,Palmer
Juno Temple,Shelly
Alisha Wainwright,Maggie
Ryder Allen,Sam
Keira Knightley,Megan
Chloë Grace Moretz,Annika
Sam Rockwell,Craig
Mark Webber,Anthony
Christian Clavier,Claude Verneuil
Chantal Lauby,Marie Verneuil
Ary Abittan,David Benichou
Medi Sadoun,Rachid Benassem
Andrew Jacobs,Jesse Arista
Jorge Diaz,Hector Estrella
Gabrielle Walsh,Marisol Vargas
Gloria Sandoval,Ana Sanchez
Danielle Panabaker,Maddy
Ving Rhames,Deputy Fallon
David Hasselhoff,David Hasselhoff
Matt Bush,Barry
Nitanshi Goel,Phool Kumari
Pratibha Ranta,Jaya
Sparsh Shrivastava,Deepak Kumar
Chhaya Kadam,Manju Maai
Samuel L. Jackson,Tom Cutler
Ed Harris,Eddie Lorenzo
Eva Mendes,Ann Norcut
Luis Guzmán,Det. Jim Vargas
Anthony Mackie,Leo
Damson Idris,Harp
Enzo Cilenti,Miller
Emily Beecham,Sofiya
Aamir Khan,Surjan Singh Shekhawat
Kareena Kapoor,Rosie
Rani Mukerji,Roshni Shekhawat
Nawazuddin Siddiqui,Tehmur
Nicolas Cage,Kyle Miller
Nicole Kidman,Sarah Miller
Cam Gigandet,Jonah
Ben Mendelsohn,Elias
Emma Roberts,Claire
JoJo,Hailey Rogers
Sara Paxton,Aquamarine
Jake McDorman,Raymond
Hayden Christensen,Sam Monroe
Kevin Kline,George Monroe
Kristin Scott Thomas,Robin Kimball
Jena Malone,Alyssa Beck
Anna Kendrick,Sheryl
Daniel Zovatto,Rodney
Tony Hale,Ed
Nicolette Robinson,Laura
Reiley McClendon,Taylor
Cassidy Gifford,Cara
Brianne Howey,Jackie
Olivia Draguicevich,Veeves
Alysson Paradis,Sarah
Jean-Baptiste Tabourin,Matthieu
Claude Lulé,Le médecin
Dominique Frot,L'infirmière
Tom Hiddleston,Laing
Jeremy Irons,Royal
Sienna Miller,Charlotte
Luke Evans,Wilder
Ayushmann Khurrana,Vicky Arora
Yami Gautam,Ashima Roy
Annu Kapoor,Dr. Baldev Chaddha
Dolly Ahluwalia,Dolly
Florence Pugh,Lib Wright
Tom Burke,Will Byrne
Kíla Lord Cassidy,Anna O'Donnell
Niamh Algar,Kitty O'Donnell
Michael Douglas,Liberace
Matt Damon,Scott Thorson
Scott Bakula,Bob Black
Eric Zuckerman,Lou
Lawrence Michael Levine,"Larry (segment ""Tape 49"""
Kelsy Abbott,"Ayesha (segment ""Tape 49"""
Adam Wingard,"Herman (segment ""Phase I Clinical Trials"""
Hannah Hughes,"Clarissa (segment ""Phase I Clinical Trials"""
Mark Wahlberg,Chris 'Izzy' Cole
Jennifer Aniston,Emily Poule
Amber Heard,Kristen
Mamie Gummer,Emily
Danielle Panabaker,Sarah
Laura-Leigh,Zoey
Henry Golding,Snake Eyes
Andrew Koji,Tommy/Storm Shadow
Haruka Abe,Akiko
Takehiro Hira,Kenta
Kad Merad,Philippe Abrams
Dany Boon,Antoine Bailleul
Zoé Félix,Julie Abrams
Lorenzo Ausilia-Foret,Raphaël Abrams
Ed Skrein,Frank Martin Jr.
Loan Chabanol,Anna
Ray Stevenson,Frank Martin Sr.
Lenn Kudrjawizki,Leo Imasova
Shane Harper,Josh Wheaton
Kevin Sorbo,Professor Radisson
David A.R. White,Reverend Dave
Dean Cain,Marc Shelley
Stephen Graham,Andy Jones
Vinette Robinson,Carly
Alice Feetham,Beth
Ray Panthaki,Freeman
Mélanie Laurent,Elizabeth 'Liz' Hansen
Mathieu Amalric,M.I.L.O.
Malik Zidi,Léo Ferguson
Laura Boujenah,Alice Hansen
Queen Latifah,Isabelle 'Belle' Williams
Jimmy Fallon,Andrew 'Andy' Washburn
Gisele Bündchen,Vanessa
Henry Simmons,Jesse
Charlize Theron,Josey Aimes
Jeremy Renner,Bobby Sharp
Frances McDormand,Glory
Thomas Curtis,Sammy Aimes
Daniel Day-Lewis,Guido Contini
Marion Cotillard,Luisa Contini
Penélope Cruz,Carla
Sandro Dori,Studio Superintendent
Timothy Dalton,Sparrowhawk
Willem Dafoe,Cob
Mariska Hargitay,Tenar
Jun'ichi Okada,Arren
Nicole Kidman,Lucille Ball
Javier Bardem,Desi Arnaz
J.K. Simmons,William Frawley
Nina Arianda,Vivian Vance
Jamie Dornan,Patrick Quinlan
Emmanuelle Seigner,Madame LaFontagne
Mark Strong,Conor Cruise O'Brien
Mikael Persbrandt,Dag Hammarskjold
Ana de la Reguera,Adela
Tenoch Huerta,Juan
Josh Lucas,Dylan Tucker
Leven Rambin,Harper Tucker
Daniel Radcliffe,Tim Jenkin
Daniel Webber,Stephen Lee
Ian Hart,Denis Goldberg
Mark Leonard Winter,Leonard Fontaine
Eddie Murphy,Jack McCall
Cliff Curtis,Dr. Sinja
Kerry Washington,Caroline McCall
Clark Duke,Aaron Wiseberger
Kristen Wiig,Maggie Dean
Bill Hader,Milo Dean
Luke Wilson,Lance
Ty Burrell,Rich Levitt
Dan Fogler,Randy Daytona
Christopher Walken,Feng
George Lopez,Rodriguez
Maggie Q,Maggie
Brittany Murphy,Molly
Dakota Fanning,Ray
Heather Locklear,Roma Schleine
Jesse Spencer,Neal
Nathan Lane,Max Bialystock
Matthew Broderick,Leo Bloom
Uma Thurman,Ulla
Will Ferrell,Franz Liebkind
Jennifer Lopez,Kat
Owen Wilson,Charlie
Maluma,Bastian
John Bradley,Colin
Rebel Wilson,Stephanie
Angourie Rice,Young Stephanie Conway
Mary Holland,Martha
Molly Brown,Young Martha Reiser
Carey Mulligan,Maud Watts
Anne-Marie Duff,Violet Miller
Helena Bonham Carter,Edith Ellyn
Meryl Streep,Emmeline Pankhurst
Britney Spears,Lucy
Anson Mount,Ben
Zoe Saldana,Kit
Taryn Manning,Mimi
Megumi Ogata,Yuta Okkotsu
Kana Hanazawa,Rika Orimoto
Yûichi Nakamura,Satoru Gojo
Takahiro Sakurai,Suguru Geto
Chantal Quesnelle,Sarah
Fiona Dourif,Nica
Jordan Gavaris,US EX Guy
Danielle Bisutti,Barb
Katheryn Winnick,Sarah
Liam Neeson,Jim
Teresa Ruiz,Rosa
Juan Pablo Raba,Mauricio Guerrero
Lafortune Joseph,Fisherman #1
Leslie Odom Jr.,Victor Fielding
Gastner Legerme,Fisherman #2
Tracey Graves,Sorenne Fielding
Ewan McGregor,Catcher Block
Renée Zellweger,Barbara Novak
David Hyde Pierce,Peter MacMannus
Sarah Paulson,Vikki Hiller
Karthi,Dilli
Narain,Bejoy
Arjun Das,Anbu
George Maryan,Napoleon
Richard Jenkins,Walter
Haaz Sleiman,Tarek
Danai Gurira,Zainab
Hiam Abbass,Mouna
Shailene Woodley,Eleanor
Ben Mendelsohn,Lammark
Jovan Adepo,Jack McKenzie
Ralph Ineson,Dean
Xavier Samuel,Brent
Robin McLeavy,Princess
John Brumpton,Daddy
Richard Wilson,Jamie
James Franco,Blaine Rawlings
Jean Reno,Capt. Thenault
Jennifer Decker,Lucienne
Scott Hazell,Cinema Usher
Hilary Swank,Katherine
David Morrissey,Doug
AnnaSophia Robb,Loren McConnell
Idris Elba,Ben
Çetin Tekindor,Süleyman Dilbirligi (old
Ismail Hacioglu,Süleyman Dilbirligi (young
Lee Kyung-jin,Ayla (old
Kim Seol,Ayla (child
Sandra Bullock,Mary Horowitz
Bradley Cooper,Steve
Thomas Haden Church,Hartman
Ken Jeong,Angus
Meryl Streep,Kay
Tommy Lee Jones,Arnold
Steve Carell,Doctor Feld
Sidharth Malhotra,Amandeep Singh
Rashmika Mandanna,Nasreen Khan
Parmeet Sethi,RN Kao
Zakir Hussain,Sharma (RAW Officer
Clive Owen,Will
Catherine Keener,Lynn
Liana Liberato,Annie
Jason Clarke,Doug Tate
Cuba Gooding Jr.,Radio
Ed Harris,Coach Jones
Debra Winger,Linda
S. Epatha Merkerson,Maggie
Liyabuya Gongo,Cut Offs
Martin Munro,Kees
Daniel Hadebe,Abduya
Thapelo Sebogodi,Camo
Colin Farrell,George Pierce
Carmen Ejogo,Maya Alston
Lynda Gravatt,Vernita Wells
Connor Paolo,Martin
Nick Damici,Mister
Kelly McGillis,Sister
Gregory Jones,Martin's Father
Matthew McConaughey,Richard Wershe Sr.
Richie Merritt,Rick Wershe Jr.
Bel Powley,Dawn Wershe
Jennifer Jason Leigh,FBI Agent Snyder
Lucas Hedges,Jared Eamons
Nicole Kidman,Nancy Eamons
Joel Edgerton,Victor Sykes
Russell Crowe,Marshall Eamons
Leah Lewis,Ellie Chu
Daniel Diemer,Paul Munsky
Alexxis Lemire,Aster Flores
Wolfgang Novogratz,Trig Carson
Paul Walker,Damien Collier
David Belle,Lino
RZA,Tremaine Alexander
Goûchy Boy,K2
Deepika Padukone,Alisha
Naseeruddin Shah,Vinod(Alisha's Father
Ananya Panday,Tia
Siddhant Chaturvedi,Zain
Paddy Considine,Johnny
Samantha Morton,Sarah
Djimon Hounsou,Mateo
Sarah Bolger,Christy
Ranveer Singh,Murad Ahmed/Gully Boy
Alia Bhatt,Safeena Firdausi
Siddhant Chaturvedi,MC Sher
Vijay Raaz,Aftab Shakir Ahmed
Rooney Mara,Ona
Claire Foy,Salome
Jessie Buckley,Mariche
Frances McDormand,Scarface Janz
Jackie Chan,Eddie Yang
Lee Evans,Arthur Watson
Claire Forlani,Nicole James
Julian Sands,Snakehead
Mark Duplass,Ethan
Elisabeth Moss,Sophie
Ted Danson,Therapist
Kiana Cason,Waitress
Alia Bhatt,Kaira
Shah Rukh Khan,Dr. Jehangir Khan
Kunal Kapoor,Raghuvendra
Ali Zafar,Rumi
Sam Riley,Vince Ferro
Alice Barrett,Leanne Ferro
Gaby Hoffmann,Clara Ferro
Jason Statham,Jasper
Laurence R. Harvey,Martin
Ashlynn Yennie,Miss Yennie/Human Centipede #1
Maddi Black,Candy/Human Centipede #2
Kandace Caine,Karrie/Human Centipede #3
Katherine Heigl,Stephanie Plum
Jason O'Mara,Joseph Morelli
Daniel Sunjata,Ranger
John Leguizamo,Jimmy Alpha
Chiwetel Ejiofor,Okwe
Audrey Tautou,Senay
Sophie Okonedo,Juliette
Kriss Dosanjh,Asian Businessman
Keisha Castle-Hughes,Paikea
Rawiri Paratene,Koro
Vicky Haughton,Nanny Flowers
Cliff Curtis,Porourangi
Chris Pine,Sam
Elizabeth Banks,Frankie
Michelle Pfeiffer,Lillian
Olivia Wilde,Hannah
Eddie Murphy,Dave/Captain
Elizabeth Banks,Gina Morrison
Gabrielle Union,No. 3 - Cultural Officer
Scott Caan,Dooley
Oscar Isaac,William Tell
Tiffany Haddish,La Linda
Tye Sheridan,Cirk
Willem Dafoe,Gordo
Justin Fletcher,Shaun/Timmy
John Sparkes,The Farmer/Bitzer
Omid Djalili,Trumper
Richard Webber,Shirley
Mark Vasconcellos,Garrett
Frank Spinelli,Piak
Victoria De Mare,Queen Ilona
Juan Antonio Devoto,Tony
Rajkummar Rao,Alok Kumar Gupta
Abhishek Bachchan,Batukeshwar 'Bittu' Tiwari
Sanya Malhotra,Shruti Choksi
Aditya Roy Kapoor,Akash Chauhan
John Hawkes,Mark
Helen Hunt,Cheryl
William H. Macy,Father Brendan
Moon Bloodgood,Vera
Joaquin Phoenix,Leonard Kraditor
Gwyneth Paltrow,Michelle Rausch
Vinessa Shaw,Sandra Cohen
Anne Joyce,Leonard's Ex-Fiancée
Kristen Stewart,Maureen
Lars Eidinger,Ingo
Sigrid Bouaziz,Lara
Anders Danielsen Lie,Erwin
Kriti Sanon,Mimi Rathod
Evelyn Edwards,Summer Smith
Pankaj Tripathi,Bhanu Pratap Pandey
Sai Tamhankar,Shama - Mimi's Friend
Ariana DeBose,Asha
Chris Pine,Magnifico
Alan Tudyk,Valentino
Angelique Cabral,Amaya
Pankaj Tripathi,Kanti Sharan Mudgal
Akshay Kumar,Shiva's Messenger
Yami Gautam,Adv. Kamini Maheshwari
Pawan Malhotra,[Justice] Purushottam Nagar
Scott Eastwood,SSG Clint Romesha
Caleb Landry Jones,SPC Ty Carter
Orlando Bloom,CPT Ben Keating
Jack Kesy,SGT Josh Kirk
Pratik Nanda,Gang Member 4
Ranveer Singh,Jayesh
Shalini Pandey,Mudra
Boman Irani,Pruthvish
Martin Lawrence,Jamal Walker
Marsha Thomason,Victoria
Tom Wilkinson,Knolte
Vincent Regan,Percival
Paul Giamatti,King John
Jason Flemyng,Gil Becket
Brian Cox,Baron William d'Aubigny
James Purefoy,Thomas Marshal
Noah Centineo,Brooks Rattigan
Laura Marano,Celia Lieberman
Odiseas Georgiadis,Murph
Camila Mendes,Shelby Pace
Sahan Gökbakar,Celal
Ezgi Mola,Ceren
Dilsah Demir,Gözde
Gökçen Gökçebag,Kubilay
Mads Mikkelsen,Jon Jensen
Eva Green,Madelaine
Jeffrey Dean Morgan,Henry Delarue
Éric Cantona,Corsican
Matilda Lutz,Julia
Alex Roe,Holt
Johnny Galecki,Gabriel
Vincent D'Onofrio,Burke
Veerle Baetens,Elise Vandevelde/Alabama
Johan Heldenbergh,Didier Bontinck/Monroe
Nell Cattrysse,Maybelle
Geert Van Rampelberg,William
Terrence Howard,Djay
Ludacris,Skinny Black
Anthony Anderson,Key
Taryn Manning,Nola
Kevin Hart,Matt Logelin
Alfre Woodard,Marion
Lil Rel Howery,Jordan
DeWanda Wise,Swan
Lee Byung-hun,Sun-woo
Shin Min-a,Hee-soo
Kim Yeong-cheol,Mr. Kang
Hwang Jung-min,President Baek
Chloe Bennet,Yi
Albert Tsai,Peng
Tenzing Norgay Trainor,Jin
Joseph Izzo,Everest
Ray Liotta,Henry Oak
Jason Patric,Nick Tellis
Chi McBride,Captain Cheevers
Dan Leis,Elvin Dowd
Zoe Kazan,Jodi Kantor
Carey Mulligan,Megan Twohey
Patricia Clarkson,Rebecca Corbett
Lola Petticrew,Young Laura
Sean Penn,Terrier
Idris Elba,Barnes
Jasmine Trinca,Annie
Javier Bardem,Felix
Tim Allen,Santa/Scott Calvin
Martin Short,Jack Frost
Elizabeth Mitchell,Mrs. Claus/Carol Calvin
Eric Lloyd,Charlie Calvin
Jessica Biel,Julia Denning
Jodelle Ferland,Jenny
William B. Davis,Sheriff Chestnut
Stephen McHattie,Lieutenant Dodd
Rajkummar Rao,Vicky
Shraddha Kapoor,Mysterious Woman
Pankaj Tripathi,Rudra Bhaiya
Abhishek Banerjee,Janardan
Glenn Close,Joan Castleman
Jonathan Pryce,Joe Castleman
Max Irons,David Castleman
Christian Slater,Nathanial Bone
Bill Burr,Jack Kelly
Bobby Cannavale,Connor Brody
Bokeem Woodbine,Mike Richards
Katie Aselton,Leah Kelly
Sylvester Stallone,Joe Tanto
Kip Pardue,Jimmy Bly
Til Schweiger,Beau Brandenburg
Burt Reynolds,Carl Henry
Channing Tatum,Migo
James Corden,Percy
Zendaya,Meechee
Common,Stonekeeper
Aaron Poole,Daniel Carter
Kenneth Welsh,Dr. Richard Powell
Ellen Wong,Kim
Kathleen Munroe,Allison Fraser
Sam Riley,Sal Paradise/Jack Kerouac
Garrett Hedlund,Dean Moriarty/Neal Cassady
Kristen Stewart,Marylou/LuAnne Henderson
Amy Adams,Jane/Joan Vollmer
Kevin Costner,Jim White
Maria Bello,Cheryl White
Ramiro Rodriguez,Danny Diaz
Carlos Pratts,Thomas Valles
Cayden Boyd,Max
George Lopez,Mr. Electric/Tobor/Ice Guardian/Mr. Electricidad
Kristin Davis,Max's Mom
David Arquette,Max's Dad
Jean Reno,Hubert Fiorentini
Ryôko Hirosue,Yumi Yoshimido
Michel Muller,Maurice 'Momo'
Carole Bouquet,Sofia
John Boyega,Fontaine
Jamie Foxx,Slick Charles
Teyonah Parris,Yo-Yo
Kiefer Sutherland,Nixon
Joel Kinnaman,Pete Koslow
Rosamund Pike,Wilcox
Common,Grens
Mateusz Kosciukiewicz,Stazek
Ranveer Singh,Rocky Randhawa
Alia Bhatt,Rani Chatterjee
Dharmendra,Kanwal Randhawa
Jaya Bachchan,Dhanalaxmi Randhawa
Jason Biggs,Darren
Steve Zahn,Wayne
Jack Black,J.D.
Amanda Peet,Judith
Joseph Gordon-Levitt,Jiminy Cricket
Tom Hanks,Geppetto
Benjamin Evan Ainsworth,Pinocchio
Angus Wright,Signore Rizzi
Emily Watson,Anne MacMorrow
David Morrissey,Capt. Hamilton
Alex Etel,Angus MacMorrow
Bruce Allpress,Jock McGowan
Jill Larson,Deborah Logan
Anne Ramsay,Sarah Logan
Michelle Ang,Mia Medina
Brett Gentile,Gavin
Zachary Bennett,Eric Wynn
Stephanie Moore,Cassandra Rains
Martin Roach,Robert P. Haskell
Michael Riley,Jax
John Cusack,Brian - Future
Paul Dano,Brian - Past
Elizabeth Banks,Melinda Ledbetter
Paul Giamatti,Dr. Eugene Landy
Jennifer Westfeldt,Julie Keller
Adam Scott,Jason Fryman
Maya Rudolph,Leslie
Chris O'Dowd,Alex
Cailee Spaeny,Priscilla
Jacob Elordi,Elvis
Ari Cohen,Captain Beaulieu
Dagmara Dominczyk,Ann Beaulieu
Julianne Moore,Havana Segrand
Mia Wasikowska,Agatha Weiss
Robert Pattinson,Jerome Fontana
John Cusack,Dr. Stafford Weiss
Kristen Stewart,Cole
Payman Maadi,Ali
Lane Garrison,Ransdell
Tara Holt,Mary
Ghassan Massoud,Cyrus
Almira Tursyn,Tomiris
Zarina Yeva,amazon Tana
Aizhan Lighg,Sardana
Amanda Seyfried,Linda
Peter Sarsgaard,Chuck
Sharon Stone,Dorothy Boreman
Juno Temple,Patsy
Samaire Armstrong,Nell Bedworth
Kevin Zegers,Woody Deane
Sherry Miller,Katherine Bedworth
Robert Joy,Ted Bedworth
Edward Norton,Stone
Milla Jovovich,Lucetta
Robert De Niro,Jack
Frances Conroy,Madylyn
Diedrich Bader,Grizzled Narrator
Daniel Radcliffe,Weird Al
Lin-Manuel Miranda,Doctor
Richard Aaron Anderson,Young Al
Hugh Grant,Paul Morgan
Sarah Jessica Parker,Meryl Morgan
Sam Elliott,Clay Wheeler
Elisabeth Moss,Jackie Drake
Ethan Hawke,Bruce Kenner
David Thewlis,Kenneth Raines
Emma Watson,Angela Gray
Dale Dickey,Rose Gray
Amandla Stenberg,Maddy
Nick Robinson,Olly
Anika Noni Rose,Pauline
Ana de la Reguera,Carla
Robin Williams,Rainbow Randolph
Edward Norton,Sheldon Mopes/Smoochy the Rhino
Catherine Keener,Nora Wells
Danny DeVito,Burke Bennett
Nicolas Cage,Rayford Steele
Lea Thompson,Irene Steele
Cassi Thomson,Chloe Steele
Chad Michael Murray,Buck Williams
Viggo Mortensen,Saul Tenser
Léa Seydoux,Caprice
Kristen Stewart,Timlin
Scott Speedman,Lang Dotrice
Penélope Cruz,Lena
Lluís Homar,Mateo Blanco/Harry Caine
Blanca Portillo,Judit García
José Luis Gómez,Ernesto Martel
Benedict Cumberbatch,Julian Assange
Daniel Brühl,Daniel Berg
Carice van Houten,Birgitta Jónsdóttir
Alicia Vikander,Anke Domscheit
Anthony Hopkins,John
Demi Moore,Virginia
Sharon Stone,Miriam Ebbers
Harry Belafonte,Nelson
Robert Gustafsson,Allan Karlsson
Iwar Wiklander,Julius
David Wiberg,Benny Ljungberg
Mia Skäringer,Gunilla
Romain Duris,Xavier
Judith Godrèche,Anne-Sophie
Kelly Reilly,Wendy
Audrey Tautou,Martine
Keanu Reeves,William Foster
Alice Eve,Mona Foster
Thomas Middleditch,Ed Whittle
John Ortiz,Jones
Colin Firth,Eric
Nicole Kidman,Patti
Stellan Skarsgård,Finlay
Jeremy Irvine,Young Eric
Derek Richardson,Harry Dunne
Eric Christian Olsen,Lloyd Christmas
Eugene Levy,Principal Collins
Timothy Stack,Doctor
Haley Bishop,Haley
Jemma Moore,Jemma
Emma Louise Webb,Emma
Radina Drandova,Radina
Takako Matsu,Yûko Moriguchi
Yoshino Kimura,Yûko Shimomura
Masaki Okada,Yoshiteru Terada
Yukito Nishii,Shûya Watanabe
George MacKay,Jack
Anya Taylor-Joy,Allie
Charlie Heaton,Billy
Mia Goth,Jane
Hilary Duff,Lizzie/Isabella
Adam Lamberg,Gordo
Clayton Snyder,Ethan
Hallie Todd,Jo
Tom Wilkinson,Matt Fowler
Sissy Spacek,Ruth Fowler
Nick Stahl,Frank Fowler
Marisa Tomei,Natalie Strout
Andreas Wilson,Erik Ponti
Henrik Lundström,Pierre Tanguy
Gustaf Skarsgård,Otto Silverhielm
Linda Zilliacus,Marja
Greg Stebner,Cop
Woody Allen,CW Briggs
John Tormey,Sam
John Schuck,Mize
Kartik Aaryan,Arjun Pathak
Mrunal Thakur,Soumya Mehra Pathak
Amruta Subhash,Ankita Malaskar
Soham Majumdar,Anand Mhata
Anthony Mackie,Steve
Jamie Dornan,Dennis
Katie Aselton,Tara
Ally Ioannides,Brianna
Tom Payne,Rob Cole
Stellan Skarsgård,Barber
Olivier Martinez,Shah Ala ad Daula
Emma Rigby,Rebecca
Jason Momoa,Joe Braven
Garret Dillahunt,Kassen
Jill Wagner,Stephanie Braven
Stephen Lang,Linden Braven
Felicity Huffman,Bree
Kevin Zegers,Toby
Fionnula Flanagan,Elizabeth
Andrea James,Voice Coach
Robert Pattinson,Monte
Juliette Binoche,Dibs
André 3000,Tcherny
Mia Goth,Boyse
Audrey Tautou,Gabrielle Chanel
Benoît Poelvoorde,Étienne Balsan
Alessandro Nivola,Boy Capel
Marie Gillain,Adrienne Chanel
Anna Castillo,Mia
Tamar Novas,Nico
Tony Corvillo,Gil
Mariam Torres,Lucía
Phoebe Dynevor,Emily
Alden Ehrenreich,Luke
Eddie Marsan,Campbell
Rich Sommer,Paul
Paul Giamatti,Stan Beals
Nicolas Cage,Zoc
Julia Roberts,Hova
Meryl Streep,Queen
Robbie Amell,Renton
Rachael Taylor,Hannah
Shaun Benson,Sonny
Gray Powell,Father
Oliver Driver,Grant
Nathan Meister,Henry Oldfield
Tammy Davis,Tucker
Matthew Chamberlain,Oliver Oldfield
Rob Corddry,Lou
Craig Robinson,Nick
Clark Duke,Jacob
Adam Scott,Adam Jr.
Rhys Ifans,Earl of Oxford
Vanessa Redgrave,Queen Elizabeth I
David Thewlis,William Cecil
Sebastian Armesto,Ben Jonson
Uma Thurman,Rafi Gardet
Meryl Streep,Lisa Metzger
Bryan Greenberg,David Bloomberg
Jon Abrahams,Morris
Zach Braff,Michael
Jacinda Barrett,Jenna
Rachel Bilson,Kim
Casey Affleck,Chris
Vinnie Jones,Danny Meehan
David Kelly,Doc
David Hemmings,Governor
Ralph Brown,Burton
Salman Khan,Rajveer Singh
Aayush Sharma,Rahul Patil
Mahima Makwana,Manda Vichare
Mahesh Manjrekar,Satya Vichare
Ashton Kutcher,Nikki
Anne Heche,Samantha
Margarita Levieva,Heather
Sebastian Stan,Harry
Piper Perabo,Charlie
Morris Chestnut,Top Buchanan
Cole Hauser,Jack McAllister
Eddie Cibrian,Tyler McAllister
Julia Stiles,Paige Morgan
Luke Mably,Eddie
Miranda Richardson,Queen Rosalind
Ben Miller,Soren
Emile Hirsch,Dad
Bruce Dern,Grandpa
Grace Park,Agent Ray
Amanda Crew,Mom
Don Cheadle,Curt Goynes
Benicio Del Toro,Ronald Russo
David Harbour,Matt Wertz
Jon Hamm,Joe Finney
Stephan James,Jesse Owens
Jason Sudeikis,Larry Snyder
Eli Goree,Dave Albritton
Shanice Banton,Ruth Solomon
Charlie Shotwell,Eli
Kelly Reilly,Rose
Max Martini,Paul
Lili Taylor,Dr. Horn
Tommy Lee Jones,Pete Perkins
Barry Pepper,Mike Norton
Dwight Yoakam,Belmont
January Jones,Lou Ann Norton
Sharon Stone,Catherine Tramell
David Morrissey,Michael Glass
David Thewlis,Roy Washburn
Stan Collymore,Kevin Franks
Kevin Hart,Sonny Fisher
Mark Wahlberg,Huck Dembo
Regina Hall,Maya Fisher
Che Tafari,Dashiell Fisher
Mikael Persbrandt,Anton
Trine Dyrholm,Marianne
Markus Rygaard,Elias
Wil Johnson,Najeeb
Rakshit Shetty,Dharma
Charlie,Charlie
Sangeetha Sringeri,Devika
Raj B. Shetty,Dr. Ashwin Kumar
Kevin James,Paul Blart
Raini Rodriguez,Maya Blart
Eduardo Verástegui,Eduardo Furtillo
Daniella Alonso,Divina Martinez
Shahid Kapoor,Kabir Rajdheer Singh
Kiara Advani,Preeti Sikka
Nikita Dutta,Jia Sharma
Soham Majumdar,Shiva
Eugenio Derbez,Leonardo Montenegro
Anna Faris,Kate Sullivan
Eva Longoria,Theresa
John Hannah,Colin
Minka Kelly,Sara Matthews
Leighton Meester,Rebecca
Cam Gigandet,Stephen
Aly Michalka,Tracy
Demi Moore,Kate Jones
David Duchovny,Steve Jones
Amber Heard,Jenn Jones
Benjamin Hollingsworth,Mick Jones
Nicole Kidman,Anna
Cameron Bright,Young Sean
Lauren Bacall,Eleanor
Danny Huston,Joseph
Shah Rukh Khan,Chandramohan 'Charlie' Sharma
Deepika Padukone,Mohini Joshi
Abhishek Bachchan,Nandu Bhide/Vicky Grover
Boman Irani,Temhton 'Tammy' Irani
Daniel Radcliffe,Allen Ginsberg
Dane DeHaan,Lucien Carr
Michael C. Hall,David Kammerer
Ben Foster,William Burroughs
Crystal Reed,Adult Beth
Mylène Farmer,Pauline
Anastasia Phillips,Adult Vera
Emilia Jones,Young Beth
James Badge Dale,James Lasombra
Marin Ireland,Nora Quail
Sasha Frolova,Amanda Quail
Samantha Logan,Davara Walsh
John David Washington,Malcolm
Zendaya,Marie
Andy Samberg,Jonathan
Selena Gomez,Mavis
Kathryn Hahn,Ericka
Jim Gaffigan,Van Helsing
Jack Dylan Grazer,Barney
Zach Galifianakis,Ron
Ed Helms,Graham
Olivia Colman,Donka
Freddie Highmore,Arthur
Mia Farrow,Granny
Madonna,Princess Selenia
Ron Crawford,Archibald
Christina Ricci,Anna Taylor
Liam Neeson,Eliot Deacon
Justin Long,Paul Coleman
Chandler Canterbury,Jack
Shah Rukh Khan,Mark Donald (Don
Priyanka Chopra Jonas,Roma Bhagat
Arjun Rampal,Jasjit Ahuja
Isha Koppikar,Anita
Angela Bettis,May Dove Canady
Jeremy Sisto,Adam Stubbs
Anna Faris,Polly
James Duval,Blank
Ryan Gosling,Danny Balint
Summer Phoenix,Carla Moebius
Peter Meadows,Orthodox Student
Garret Dillahunt,Billings
Ralph Fiennes,Spider
Miranda Richardson,Yvonne/Mrs. Cleg
Gabriel Byrne,Bill Cleg
Lynn Redgrave,Mrs. Wilkinson
Shea Whigham,Dennis Farell
Jill Wagner,Polly Watt
Paulo Costanzo,Seth Belzer
Charles Baker,Blake Sherman Jr.
Katie Stevens,Harper
Will Brittain,Nathan
Lauryn Alisa McClain,Bailey
Andrew Lewis Caldwell,Evan
Jesse Eisenberg,Casey
Alessandro Nivola,Sensei
Imogen Poots,Anna
Steve Terada,Thomas
Willem Dafoe,Martin
Sam Neill,Jack
Morgan Davies,Sass
